001689,33.52,22:48:22,267
005916,33.85,22:49:24,265
005635,34.03,22:49:24,263
000799,33.84,22:49:24,265
003647,33.65,22:48:22,266
005682,33.87,22:49:24,265
005284,33.54,22:50:05,267
000392,34.07,22:50:05,263
001243,33.92,22:50:05,264
003217,33.97,22:50:05,264
005388,33.52,22:50:05,267
001698,33.96,22:50:05,264
004470,34.02,22:48:24,263
000630,33.87,22:48:24,264
001435,33.90,22:48:24,263
003928,33.84,22:48:10,263
003015,33.59,22:48:03,267
003834,34.08,22:48:24,262
004925,33.84,22:50:22,264
002926,34.06,22:50:22,263
001621,33.83,22:50:22,264
003013,33.97,22:50:32,262
004447,33.52,22:50:22,267
004090,34.01,22:50:22,263
001947,33.97,22:49:51,263
001272,33.57,22:49:45,265
000024,33.62,22:49:31,265
003175,34.13,22:50:10,261
002066,33.88,22:49:24,264
003537,33.93,22:49:24,264
000129,33.94,22:47:46,263
002751,33.74,22:49:19,265
001666,33.94,22:49:19,263
003973,33.97,22:49:19,263
001914,33.86,22:49:19,264
004303,33.96,22:49:19,263
001813,33.70,22:48:21,265
001276,33.97,22:48:14,264
003083,33.82,22:48:21,264
001442,33.91,22:48:17,263
004125,33.82,22:48:17,264
004343,33.85,22:50:16,263
000764,33.93,22:50:25,263
001884,33.53,22:50:00,267
000348,33.89,22:50:22,263
004253,33.81,22:50:27,264
001571,33.97,22:50:25,263
003397,33.52,22:50:14,265
002198,33.99,22:49:29,264
003729,33.50,22:49:29,267
000269,34.06,22:48:38,263
001952,34.04,22:49:29,263
002577,33.89,22:49:29,264
003551,33.54,22:49:29,267
000962,33.50,22:49:53,267
004632,34.00,22:50:12,263
002453,33.89,22:50:12,264
001414,33.61,22:50:23,266
000925,33.91,22:49:58,263
000740,33.92,22:50:09,262
002736,34.00,22:49:32,262
003930,34.12,22:49:57,262
001065,33.56,22:48:21,265
001898,33.61,22:49:24,266
000769,33.94,22:48:15,264
004133,33.95,22:49:34,262
000621,33.95,22:50:15,262
002833,33.98,22:50:26,263
003949,33.53,22:50:10,266
002100,33.50,22:50:17,266
004444,33.82,22:50:22,264
004591,34.00,22:50:17,262
005644,33.50,22:49:55,266
005252,34.05,22:49:55,262
005624,33.99,22:50:00,263
005534,34.06,22:50:00,262
002888,33.48,22:49:08,268
005910,33.95,22:50:00,263
002464,33.66,22:48:38,265
000529,33.91,22:49:53,264
004514,33.93,22:49:53,264
000649,33.72,22:49:53,265
005137,34.04,22:48:42,262
005895,33.86,22:48:38,264
001302,33.60,22:49:44,266
003304,33.88,22:49:55,263
002948,33.94,22:49:55,263
001580,33.96,22:49:51,263
001361,33.94,22:49:53,262
001458,33.96,22:49:51,263
001791,33.56,22:48:52,266
000874,33.63,22:49:01,265
002896,33.98,22:49:36,262
001929,34.05,22:49:04,262
000689,33.60,22:49:36,265
002791,33.89,22:49:36,263
001497,33.77,22:48:32,264
000514,33.63,22:48:22,266
004115,34.01,22:49:22,263
004029,33.94,22:49:22,263
004307,33.94,22:49:22,263
004486,34.04,22:48:38,262
003341,33.50,22:49:39,266
005756,33.56,22:50:27,266
000970,33.94,22:49:11,263
005415,33.89,22:49:16,263
005191,33.60,22:49:27,266
000498,33.93,22:50:08,263
006008,34.06,22:50:23,262
005701,34.04,22:50:25,262
000121,34.00,22:49:00,262
006000,33.65,22:48:51,265
005831,33.57,22:50:25,266
006009,33.85,22:50:17,263
005132,34.04,22:50:18,263
005673,33.92,22:50:18,264
003909,33.83,22:50:18,265
005666,34.09,22:50:18,263
003570,33.88,22:50:18,264
005430,33.52,22:50:12,267
005618,33.89,22:50:17,263
005578,33.55,22:50:18,266
004528,34.03,22:50:17,262
001894,33.45,22:50:12,266
003203,34.01,22:50:18,262
000303,33.91,22:50:07,264
001371,33.85,22:49:25,263
000311,33.99,22:50:20,263
002440,33.85,22:50:31,263
000708,34.06,22:49:23,263
