ID, Elapsed, Walltime
005399,33.88, 264 seconds 0.07 hours
004071,34.02, 263 seconds 0.07 hours
006052,33.56, 266 seconds 0.07 hours
005976,33.78, 265 seconds 0.07 hours
001207,34.08, 262 seconds 0.07 hours
005713,33.91, 265 seconds 0.07 hours
004525,33.92, 265 seconds 0.07 hours
002711,34.08, 263 seconds 0.07 hours
002300,33.94, 264 seconds 0.07 hours
005348,33.80, 265 seconds 0.07 hours
004478,34.00, 264 seconds 0.07 hours
002232,34.06, 261 seconds 0.07 hours
004302,33.92, 264 seconds 0.07 hours
004592,34.09, 262 seconds 0.07 hours
005281,33.96, 263 seconds 0.07 hours
003473,33.91, 263 seconds 0.07 hours
002223,33.99, 263 seconds 0.07 hours
005054,34.04, 263 seconds 0.07 hours
002234,33.84, 264 seconds 0.07 hours
000370,34.00, 263 seconds 0.07 hours
000066,33.56, 267 seconds 0.07 hours
005414,33.85, 264 seconds 0.07 hours
004726,33.88, 264 seconds 0.07 hours
002092,34.04, 262 seconds 0.07 hours
000530,33.66, 264 seconds 0.07 hours
004513,34.09, 261 seconds 0.07 hours
000006,33.60, 267 seconds 0.07 hours
000364,33.55, 266 seconds 0.07 hours
003319,33.60, 266 seconds 0.07 hours
004786,34.04, 264 seconds 0.07 hours
004112,33.95, 262 seconds 0.07 hours
003093,33.85, 265 seconds 0.07 hours
003249,33.94, 263 seconds 0.07 hours
000306,33.82, 264 seconds 0.07 hours
002892,34.03, 262 seconds 0.07 hours
003494,33.86, 263 seconds 0.07 hours
002128,33.71, 264 seconds 0.07 hours
000548,33.69, 265 seconds 0.07 hours
004634,34.04, 262 seconds 0.07 hours
003579,33.99, 262 seconds 0.07 hours
003243,33.89, 263 seconds 0.07 hours
004305,34.00, 262 seconds 0.07 hours
003395,34.05, 262 seconds 0.07 hours
003260,33.86, 263 seconds 0.07 hours
002527,34.04, 262 seconds 0.07 hours
002668,33.61, 266 seconds 0.07 hours
002301,34.01, 262 seconds 0.07 hours
006002,33.49, 267 seconds 0.07 hours
005908,33.88, 263 seconds 0.07 hours
005973,33.95, 262 seconds 0.07 hours
005719,34.03, 263 seconds 0.07 hours
005511,33.93, 264 seconds 0.07 hours
005914,34.00, 263 seconds 0.07 hours
005119,33.85, 263 seconds 0.07 hours
005776,33.83, 263 seconds 0.07 hours
004445,33.91, 264 seconds 0.07 hours
005855,34.04, 262 seconds 0.07 hours
002750,33.69, 265 seconds 0.07 hours
003340,33.46, 266 seconds 0.07 hours
001411,33.64, 265 seconds 0.07 hours
005535,33.98, 263 seconds 0.07 hours
005602,33.99, 263 seconds 0.07 hours
002811,33.57, 266 seconds 0.07 hours
002758,34.04, 263 seconds 0.07 hours
005761,34.04, 263 seconds 0.07 hours
003305,34.00, 262 seconds 0.07 hours
000714,33.59, 266 seconds 0.07 hours
005706,33.97, 263 seconds 0.07 hours
000363,33.56, 266 seconds 0.07 hours
004301,34.07, 262 seconds 0.07 hours
005979,33.58, 266 seconds 0.07 hours
001820,33.94, 262 seconds 0.07 hours
002013,33.96, 264 seconds 0.07 hours
000210,33.56, 267 seconds 0.07 hours
001783,33.96, 263 seconds 0.07 hours
000746,33.82, 265 seconds 0.07 hours
001255,33.88, 264 seconds 0.07 hours
003831,33.80, 265 seconds 0.07 hours
000190,33.92, 263 seconds 0.07 hours
002913,33.68, 266 seconds 0.07 hours
001690,33.94, 264 seconds 0.07 hours
003421,33.99, 264 seconds 0.07 hours
004279,33.99, 263 seconds 0.07 hours
003332,33.86, 263 seconds 0.07 hours
004707,34.09, 263 seconds 0.07 hours
000156,34.04, 263 seconds 0.07 hours
004832,33.99, 263 seconds 0.07 hours
002584,33.92, 264 seconds 0.07 hours
001573,33.97, 264 seconds 0.07 hours
002553,33.91, 263 seconds 0.07 hours
004568,34.02, 262 seconds 0.07 hours
004771,33.88, 263 seconds 0.07 hours
000585,33.81, 264 seconds 0.07 hours
004887,33.73, 264 seconds 0.07 hours
004642,33.47, 266 seconds 0.07 hours
001346,34.03, 263 seconds 0.07 hours
002162,33.54, 265 seconds 0.07 hours
001980,34.05, 262 seconds 0.07 hours
003960,33.98, 263 seconds 0.07 hours
000842,33.51, 266 seconds 0.07 hours
002533,33.60, 266 seconds 0.07 hours
001574,33.52, 267 seconds 0.07 hours
001648,34.03, 262 seconds 0.07 hours
002470,34.03, 262 seconds 0.07 hours
001758,33.79, 265 seconds 0.07 hours
000600,33.94, 263 seconds 0.07 hours
000517,33.94, 263 seconds 0.07 hours
005918,34.03, 263 seconds 0.07 hours
006085,34.03, 263 seconds 0.07 hours
005626,33.61, 266 seconds 0.07 hours
003350,33.91, 264 seconds 0.07 hours
002673,34.03, 263 seconds 0.07 hours
004957,33.64, 266 seconds 0.07 hours
002217,33.64, 266 seconds 0.07 hours
001222,33.99, 263 seconds 0.07 hours
000861,33.76, 265 seconds 0.07 hours
